ws_id,dem_min,dem_max,dem_mean,dem_std,dem_median,acc_min,acc_max,acc_mean,acc_std,acc_median
149,214.0,3273.0,1374.9815480536988,626.4402975175711,1355.0,1.0,95582.0,865.6696343312925,8224.703990098054,3.0
150,256.0,3736.0,1859.0688649538395,720.0717921997473,1877.0,1.0,484952.0,314.8561511486438,5281.496582947241,4.0
151,241.0,2436.0,1215.298448864002,536.3347856731006,1134.0,1.0,1197799.0,2052.9940786509624,47191.219696310036,3.0
152,112.0,2690.0,1042.9845889851283,464.13633258538556,1016.0,1.0,979338.0,4296.855956855696,63269.40516612601,3.0
153,98.0,1954.0,767.5043435095557,371.6420442241906,749.0,1.0,3752958.0,17195.84428961458,216004.8268258519,3.0
154,164.0,1753.0,659.3070561993362,329.12356747698595,618.0,1.0,497483.0,3653.0853598824874,41970.04579325965,3.0
155,241.0,2409.0,1020.2151597552685,490.79921519546656,970.0,1.0,6943.0,72.53648311806027,489.4538373419777,3.0
156,167.0,3472.0,1589.8511968413259,672.0085950291674,1564.0,1.0,35199.0,253.97290998327438,2405.6813398434597,3.0
157,153.0,2147.0,811.3043042606953,379.2458843151853,789.0,1.0,1220068.0,14254.112180883507,130415.72453662824,3.0
158,173.0,4210.0,2137.5329662017007,900.0644622799477,2149.0,1.0,554832.0,3942.20000605162,44620.72647294644,4.0
159,175.0,4035.0,1789.4974989439986,756.4349336391714,1717.0,1.0,43474.0,222.74440319245903,2334.380763542316,4.0
160,253.0,1830.0,607.5813316137353,281.62422089087244,507.0,1.0,3860.0,56.26180880219249,310.0322935191541,3.0
161,188.0,1389.0,560.8674448353054,295.87137951992383,472.0,1.0,1801.0,36.104253277902146,161.2667197941151,3.0
162,89.0,1269.0,418.6011705685619,257.4597116879503,352.0,1.0,3756086.0,44496.352146042365,406218.0248539424,3.0
163,109.0,1193.0,485.9078447912273,249.16755490887863,424.0,1.0,1609.0,25.692851117671868,105.56668107821845,3.0
164,185.0,2634.0,895.8797590955518,627.0044261404063,750.0,1.0,17443.0,121.8184411650759,993.5105227292711,3.0
165,224.0,2401.0,1003.3325943244115,454.48369702286425,979.0,1.0,19899.0,130.07433086101258,1252.6402108911989,3.0
166,353.0,3354.0,1724.5351976856316,673.0680062163531,1743.0,1.0,21989.0,122.28619345100834,1045.773311868546,3.0
167,301.0,2177.0,972.5151577432946,460.5433075923983,849.0,1.0,4736.0,54.598602404686055,338.1452684898839,3.0
168,149.0,2401.0,751.1437633322106,474.52177422620014,587.0,1.0,145280.0,947.2691141798585,10707.266642601073,3.0
